183959967,"2018-01-22T00:00",1,2018,"D11",354914602,66711878532,2065676,"Revenda","RS",232173716,"Familia 43","Inseticida","C","Soja","Venda Bruta",191.73836129920002,7320.3941397020535,38.1790795024
183959979,"2018-01-22T00:00",1,2018,"D11",354914588,66711878550,2068222,"Revenda","RS",234630004,"Familia 73","Inseticida","A","Soja","Venda Bruta",47.934590324800006,5693.079400542818,118.7676657288
184024773,"2018-01-23T00:00",1,2018,"D8",354920405,66711893544,4291742,"Revenda","MG",232254284,"Familia 9","Fungicida","A","Soja","Venda Bruta",3595.0942743600003,348061.73900182033,96.81574736
184032156,"2018-01-23T00:00",1,2018,"D9",354920391,66711890169,5452658,"Venda Direta","PI",232077272,"Familia 78","Inseticida","A","Soja","Venda Bruta",1557.8741855560002,102695.96919859912,65.920579563328
184032354,"2018-01-23T00:00",1,2018,"D10",354914819,66711896145,1138468,"Venda Direta","BA",235938456,"Familia 76","Fungicida","A","Soja","Venda Bruta",2228.9584501032,419235.06803601206,188.0856361484
184032411,"2018-01-23T00:00",1,2018,"D10",354914819,66711896523,4328498,"Venda Direta","BA",235987440,"Familia 44","Inseticida","A","Milho Verão","Venda Bruta",719.018854872,59685.02167926866,83.0089799104
184032402,"2018-01-23T00:00",1,2018,"D10",354914819,66711896469,2062646,"Venda Direta","BA",232254284,"Familia 9","Fungicida","A","Soja","Venda Bruta",2396.72951624,192972.4902248498,80.51492207080001
184021173,"2018-01-23T00:00",1,2018,"D10",354915890,66711896766,2094216,"Venda Direta","BA",235938456,"Familia 76","Fungicida","A","Algodão","Venda Bruta",1893.4163178296,270425.8114615099,142.8242742576
184032165,"2018-01-23T00:00",1,2018,"D10",354914889,66711890313,8257588,"Revenda","MA",234630004,"Familia 73","Inseticida","A","Soja","Venda Bruta",599.18237906,63635.724191860485,106.2042650381216
184024764,"2018-01-23T00:00",1,2018,"D11",354914679,66711893265,9288960,"Revenda","RS",235776548,"Familia 20","Fungicida","C","Arroz","Venda Bruta",23.967295162400003,4307.137910821802,179.70896931160001
184039380,"2018-01-23T00:00",1,2018,"D11",354917577,66711892464,2093408,"Cooperativa","SC",233982556,"Familia 73","Inseticida","A","Soja","Venda Bruta",47.934590324800006,6583.877844668599,137.35129058279
184002603,"2018-01-23T00:00",1,2018,"D11",354920314,66711888873,2091180,"Cooperativa","PR",232149836,"Familia 106","Fungicida","B","Soja","Venda Bruta",958.691806496,30266.23817407133,31.5703524
184024842,"2018-01-23T00:00",1,2018,"D1",354914973,66711894435,94342,"Indústria","SP",234268184,"Familia 12","Herbicida S","A","Arroz","Venda Bruta",3834.767225984,108312.77767894327,28.2449419472
184003065,"2018-01-24T00:00",1,2018,"D8",354916121,66711907593,2220502,"Cooperativa","SP",232159736,"Familia 94","Inseticida","B","Cana","Venda Bruta",100.66263968208001,40254.09677151487,399.8911304
184021803,"2018-01-24T00:00",1,2018,"D8",354916163,66711906036,2976736,"Venda Direta","MS",232159736,"Familia 94","Inseticida","B","Cana","Venda Bruta",14.38037709744,3544.2269339140435,246.46272555293336
184003068,"2018-01-24T00:00",1,2018,"D8",354916898,66711907602,2755126,"Venda Direta","SP",232311528,"Familia 30","Fungicida","B","Cana","Venda Bruta",95.86918064960001,9041.53421720091,94.3111660696
184069605,"2018-01-24T00:00",1,2018,"D8",354917122,66711907404,2067130,"Revenda","MG",232311528,"Familia 30","Fungicida","B","Café","Venda Bruta",1078.5282823080001,118492.32245148928,109.86482635200001
184002936,"2018-01-24T00:00",1,2018,"D8",354920349,66711905793,8350500,"Venda Direta","PI",235987440,"Familia 44","Inseticida","A","Soja","Venda Bruta",719.018854872,47088.38990427619,65.48978456574534
183977694,"2018-01-24T00:00",1,2018,"D9",354914609,66711907998,7292418,"Venda Direta","MT",232254380,"Familia 9","Fungicida","A","Soja","Venda Bruta",838.855330684,61775.9142997941,73.64310869840001
184005438,"2018-01-24T00:00",1,2018,"D9",354916415,66711910644,6684404,"Venda Direta","MT",234630004,"Familia 73","Inseticida","A","Soja","Venda Bruta",1054.5609871456002,101931.64579724324,96.657895598
184005177,"2018-01-24T00:00",1,2018,"D9",354916331,66711903498,2067048,"Revenda","MT",232159736,"Familia 94","Inseticida","B","Cana","Venda Bruta",1984.4920394467201,626511.1302032766,315.703524
184070862,"2018-01-24T00:00",1,2018,"D11",354914826,66711907656,2096284,"Revenda","RS",232490044,"Familia 7","Outros","B","Soja","Venda Bruta",1198.36475812,18475.01621875604,15.416855422000001
184071057,"2018-01-24T00:00",1,2018,"D11",354914868,66711912102,2066908,"Revenda","MS",234220720,"Familia 53","Inseticida","C","Milho Verão","Venda Bruta",551.2477887352001,14660.360446756671,26.594864861759998
184109802,"2018-01-25T00:00",1,2018,"D8",354916121,66711920661,2220502,"Cooperativa","SP",232159736,"Familia 94","Inseticida","B","Cana","Venda Bruta",388.27018163088,155265.80183298592,399.8911304
184109985,"2018-01-25T00:00",1,2018,"D8",354916156,66711922893,8194632,"Cooperativa","SP",232159736,"Familia 94","Inseticida","B","Cana","Venda Bruta",603.9758380924801,241524.58062908927,399.8911304
184109775,"2018-01-25T00:00",1,2018,"D8",354916128,66711920625,2120550,"Cooperativa","SP",232159736,"Familia 94","Inseticida","B","Cana","Venda Bruta",129.42339387696,51755.26727766197,399.8911304
184109907,"2018-01-25T00:00",1,2018,"D8",354917066,66711921741,2110032,"Cooperativa","SP",232159736,"Familia 94","Inseticida","B","Cana","Venda Bruta",747.7796090668801,287226.600271937,384.10595420000004
184065981,"2018-01-25T00:00",1,2018,"D10",354934601,66711917736,4243208,"Revenda","GO",232254284,"Familia 9","Fungicida","A","Milho Safrinha","Venda Bruta",1438.037709744,132293.7270588658,91.99600689360001
184062501,"2018-01-25T00:00",1,2018,"D10",354916800,66711917889,8389470,"Venda Direta","MA",235987440,"Familia 44","Inseticida","A","Soja","Venda Bruta",311.5748371112,24497.203126644166,78.62381748722923
184136820,"2018-01-26T00:00",1,2018,"D9",354917059,66711932991,7924266,"Venda Direta","MT",235938456,"Familia 76","Fungicida","A","Algodão","Venda Bruta",4625.6879663432,461518.01163979556,99.7728370348
